"Year","Month","Site_No","No_Readings","Ave"
1950,3,7,0,-1
1950,3,13,0,-1
1950,4,7,0,-1
1950,4,13,0,-1
1950,5,7,0,-1
1950,5,13,0,-1
1950,6,7,0,-1
1950,6,13,0,-1
1950,7,7,0,-1
1950,7,13,0,-1
1950,8,7,0,-1
1950,8,13,0,-1
1950,9,7,0,-1
1950,9,13,0,-1
1950,10,7,0,-1
1950,10,13,0,-1
1950,11,7,0,-1
1950,11,13,0,-1
1950,12,7,0,-1
1950,12,13,0,-1
1951,1,7,0,-1
1951,1,13,0,-1
1951,2,7,0,-1
1951,2,13,0,-1
1951,3,7,0,-1
1951,3,13,0,-1
1951,4,7,0,-1
1951,4,13,0,-1
1951,5,7,0,-1
1951,5,13,0,-1
1951,6,7,0,-1
1951,6,13,0,-1
1951,7,7,0,-1
1951,7,13,0,-1
1951,8,7,0,-1
1951,8,13,0,-1
1951,9,7,0,-1
1951,9,13,0,-1
1951,10,7,0,-1
1951,10,13,0,-1
1951,11,7,0,-1
1951,11,13,0,-1
1951,12,7,0,-1
1951,12,13,0,-1
1952,1,7,0,-1
1952,1,13,0,-1
1952,2,7,0,-1
1952,2,13,0,-1
1952,3,7,0,-1
1952,3,13,0,-1
1952,4,7,0,-1
1952,4,13,0,-1
1952,5,7,0,-1
1952,5,13,0,-1
1952,6,7,0,-1
1952,6,13,0,-1
1952,7,7,0,-1
1952,7,13,0,-1
1952,8,7,0,-1
1952,8,13,0,-1
1952,9,7,0,-1
1952,9,13,0,-1
1952,10,7,0,-1
1952,10,13,0,-1
1952,11,7,0,-1
1952,11,13,0,-1
1952,12,7,0,-1
1952,12,13,0,-1
1953,1,7,0,-1
1953,1,13,0,-1
1953,2,7,0,-1
1953,2,13,0,-1
1953,3,7,0,-1
1953,3,13,0,-1
1953,4,7,0,-1
1953,4,13,0,-1
1953,5,7,0,-1
1953,5,13,0,-1
1953,6,7,0,-1
1953,6,13,0,-1
1953,7,7,0,-1
1953,7,13,0,-1
1953,8,7,0,-1
1953,8,13,0,-1
1953,9,7,0,-1
1953,9,13,0,-1
1953,10,7,0,-1
